date,year,month,total,anthro,nat,co2,wmghg,aero,o3Tr,o3St,luc,solar,volc
1752.67,1752,9,-0.0455,-0.0155,-0.03,-0.02,0.0111,-0.0066,0,0,0,-0.03,0
1752.75,1752,10,-0.0463,-0.0163,-0.03,-0.02,0.0111,-0.0074,0,0,0,-0.03,0
1752.83,1752,11,-0.0471,-0.0171,-0.03,-0.02,0.0111,-0.0082,0,0,0,-0.03,0
1752.92,1752,12,-0.048,-0.018,-0.03,-0.02,0.0111,-0.0091,0,0,0,-0.03,0
1753,1753,1,-0.0488,-0.0188,-0.03,-0.02,0.0111,-0.0099,0,0,0,-0.03,0
1753.08,1753,2,-0.0504,-0.0196,-0.0307,-0.0207,0.0111,-0.01,0,0,0,-0.0307,0
1753.17,1753,3,-0.052,-0.0205,-0.0316,-0.0216,0.0111,-0.01,0,0,0,-0.0316,0
1753.25,1753,4,-0.0537,-0.0213,-0.0324,-0.0224,0.0111,-0.01,0,0,0,-0.0324,0
1753.33,1753,5,-0.0553,-0.0221,-0.0332,-0.0232,0.0111,-0.01,0,0,0,-0.0332,0
1753.42,1753,6,-0.057,-0.023,-0.0341,-0.0241,0.0111,-0.01,0,0,0,-0.0341,0
1753.5,1753,7,-0.0587,-0.0238,-0.0349,-0.0249,0.0111,-0.01,0,0,0,-0.0349,0
1753.58,1753,8,-0.0603,-0.0246,-0.0357,-0.0257,0.0111,-0.01,0,0,0,-0.0357,0
1753.67,1753,9,-0.062,-0.0254,-0.0365,-0.0265,0.0111,-0.01,0,0,0,-0.0365,0
1753.75,1753,10,-0.0636,-0.0263,-0.0374,-0.0274,0.0111,-0.01,0,0,0,-0.0374,0
1753.83,1753,11,-0.0653,-0.0271,-0.0382,-0.0282,0.0111,-0.01,0,0,0,-0.0382,0
1753.92,1753,12,-0.067,-0.0279,-0.039,-0.029,0.0111,-0.01,0,0,0,-0.039,0
1754,1754,1,-0.0686,-0.0288,-0.0399,-0.0299,0.0111,-0.01,0,0,0,-0.0399,0
1754.08,1754,2,-0.1154,-0.0289,-0.0865,-0.03,0.0111,-0.01,0,0,0,-0.0407,-0.0458
1754.17,1754,3,-0.1711,-0.0289,-0.1421,-0.03,0.0111,-0.01,0,0,0,-0.0415,-0.1006
1754.25,1754,4,-0.2267,-0.0289,-0.1978,-0.03,0.0111,-0.01,0,0,0,-0.0424,-0.1554
1754.33,1754,5,-0.2823,-0.0289,-0.2535,-0.03,0.0111,-0.01,0,0,0,-0.0432,-0.2103
1754.42,1754,6,-0.338,-0.0289,-0.3091,-0.03,0.0111,-0.01,0,0,0,-0.044,-0.2651
1754.5,1754,7,-0.3936,-0.0289,-0.3647,-0.03,0.0111,-0.01,0,0,0,-0.0448,-0.3199
1754.58,1754,8,-0.4493,-0.0289,-0.4204,-0.03,0.0111,-0.01,0,0,0,-0.0457,-0.3747
1754.67,1754,9,-0.5049,-0.0289,-0.476,-0.03,0.0111,-0.01,0,0,0,-0.0465,-0.4295
